filename,description,rod_length,big_end_diameter,small_end_diameter,shaft_thickness,rod_thickness,shaft_length,shaft_diameter,cam_major_diameter,cam_minor_diameter,cam_thickness,journal_diameter,journal_thickness,num_cams,component_type,throw_count,web_thickness,counterweight_radius,cylinder_count,head_length,port_diameter,valve_diameter,length,width,height,oil_pan_depth,bearing_diameter,flange_thickness,valve_type,stem_length,stem_diameter,head_diameter,head_thickness,filleted
connecting_rod_0_long_thick_rod_with_big_end.stl,long thick rod with big end,200,60,30,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connecting_rod_1_short_thin_rod_with_small_end.stl,short thin rod with small end,100,40,30,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connecting_rod_2_long_rod_with_narrow_end.stl,long rod with narrow end,200,50,25,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connecting_rod_3_short_rod_with_wide_end.stl,short rod with wide end,100,50,35,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connecting_rod_4_thick_rod.stl,thick rod,150,50,30,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connecting_rod_5_thin_rod_with_big_end.stl,thin rod with big end,150,60,30,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camshaft_0_long_thick_camshaft_with_big_cams.stl,long thick camshaft with big cams,,,,,,500,25,50,35,20,30,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_1_short_thin_camshaft_with_small_cams.stl,short thin camshaft with small cams,,,,,,300,25,35,25,10,30,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_2_long_camshaft_with_narrow_journals.stl,long camshaft with narrow journals,,,,,,500,25,40,30,15,25,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_3_short_camshaft_with_wide_journals.stl,short camshaft with wide journals,,,,,,300,25,40,30,15,35,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_4_thick_camshaft.stl,thick camshaft,,,,,,400,25,40,30,20,30,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_5_thin_camshaft_with_big_cams.stl,thin camshaft with big cams,,,,,,400,25,50,35,10,30,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_6_long_thick_camshaft_with_small_cams.stl,long thick camshaft with small cams,,,,,,500,25,35,25,20,30,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_7_short_thin_camshaft_with_big_cams.stl,short thin camshaft with big cams,,,,,,300,25,50,35,10,30,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_8_long_camshaft_with_wide_journals.stl,long camshaft with wide journals,,,,,,500,25,40,30,15,35,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_9_short_camshaft_with_narrow_journals.stl,short camshaft with narrow journals,,,,,,300,25,40,30,15,25,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_10_long_thin_camshaft.stl,long thin camshaft,,,,,,500,25,40,30,10,30,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_11_short_thick_camshaft.stl,short thick camshaft,,,,,,310,25,40,30,20,30,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_12_long_thick_camshaft_with_narrow_journals.stl,long thick camshaft with narrow journals,,,,,,500,25,40,30,20,25,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_13_short_thin_camshaft_with_wide_journals.stl,short thin camshaft with wide journals,,,,,,300,25,40,30,10,35,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_14_long_camshaft_with_big_cams.stl,long camshaft with big cams,,,,,,500,25,50,35,15,30,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_15_short_camshaft_with_small_cams.stl,short camshaft with small cams,,,,,,300,25,35,25,15,30,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_16_thick_camshaft_with_wide_journals.stl,thick camshaft with wide journals,,,,,,400,25,40,30,20,35,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_17_thin_camshaft_with_narrow_journals.stl,thin camshaft with narrow journals,,,,,,400,25,40,30,10,25,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_18_long_thick_camshaft.stl,long thick camshaft,,,,,,500,25,40,30,20,30,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_19_short_thin_camshaft_with_big_cams_wide_journals.stl,short thin camshaft with big cams wide journals,,,,,,300,25,50,35,10,35,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_20_long_thin_camshaft_with_small_cams.stl,long thin camshaft with small cams,,,,,,500,25,35,25,10,30,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_21_short_thick_camshaft_with_narrow_journals.stl,short thick camshaft with narrow journals,,,,,,310,25,40,30,20,25,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_22_long_camshaft_with_big_cams_wide_journals.stl,long camshaft with big cams wide journals,,,,,,500,25,50,35,15,35,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_23_short_camshaft_with_small_cams_narrow_journals.stl,short camshaft with small cams narrow journals,,,,,,300,25,35,25,15,25,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_24_long_thick_camshaft_with_big_cams_wide_journals.stl,long thick camshaft with big cams wide journals,,,,,,500,25,50,35,20,35,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_25_short_thin_camshaft_with_small_cams_narrow_journals.stl,short thin camshaft with small cams narrow journals,,,,,,300,25,35,25,10,25,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_26_long_thin_camshaft_with_big_cams_narrow_journals.stl,long thin camshaft with big cams narrow journals,,,,,,500,25,50,35,10,25,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_27_short_thick_camshaft_with_small_cams_wide_journals.stl,short thick camshaft with small cams wide journals,,,,,,310,25,35,25,20,35,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_28_long_camshaft_with_small_cams_wide_journals.stl,long camshaft with small cams wide journals,,,,,,500,25,35,25,15,35,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_29_short_camshaft_with_big_cams_narrow_journals.stl,short camshaft with big cams narrow journals,,,,,,300,25,50,35,15,25,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_30_long_thin_camshaft_with_big_cams_narrow_journals.stl,long thin camshaft with big cams narrow journals,,,,,,500,25,50,35,10,25,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_31_short_thick_camshaft_with_small_cams_wide_journals.stl,short thick camshaft with small cams wide journals,,,,,,310,25,35,25,20,35,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_32_long_camshaft_with_small_cams_narrow_journals.stl,long camshaft with small cams narrow journals,,,,,,500,25,35,25,15,25,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_33_short_camshaft_with_big_cams_wide_journals.stl,short camshaft with big cams wide journals,,,,,,300,25,50,35,15,35,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_34_long_thick_camshaft_with_big_cams.stl,long thick camshaft with big cams,,,,,,500,25,50,35,20,30,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_35_short_thin_camshaft_with_small_cams.stl,short thin camshaft with small cams,,,,,,300,25,35,25,10,30,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_36_long_camshaft_with_wide_journals_thin.stl,long camshaft with wide journals thin,,,,,,500,25,40,30,10,35,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_37_short_camshaft_with_narrow_journals_thick.stl,short camshaft with narrow journals thick,,,,,,310,25,40,30,20,25,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_38_long_thick_camshaft_with_small_cams_narrow_journals.stl,long thick camshaft with small cams narrow journals,,,,,,500,25,35,25,20,25,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_39_short_thin_camshaft_with_big_cams_wide_journals.stl,short thin camshaft with big cams wide journals,,,,,,300,25,50,35,10,35,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_40_long_thin_camshaft_with_big_cams.stl,long thin camshaft with big cams,,,,,,500,25,50,35,10,30,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_41_short_thick_camshaft_with_small_cams.stl,short thick camshaft with small cams,,,,,,310,25,35,25,20,30,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_42_long_camshaft_with_big_cams_narrow_journals.stl,long camshaft with big cams narrow journals,,,,,,500,25,50,35,15,25,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_43_short_camshaft_with_small_cams_wide_journals.stl,short camshaft with small cams wide journals,,,,,,300,25,35,25,15,35,20,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_44_long_thick_camshaft_with_wide_journals.stl,long thick camshaft with wide journals,,,,,,500,25,40,30,20,35,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_45_short_thin_camshaft_with_narrow_journals.stl,short thin camshaft with narrow journals,,,,,,300,25,40,30,10,25,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_46_long_thin_camshaft_with_small_cams_wide_journals.stl,long thin camshaft with small cams wide journals,,,,,,500,25,35,25,10,35,15,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_47_short_thick_camshaft_with_big_cams_narrow_journals.stl,short thick camshaft with big cams narrow journals,,,,,,310,25,50,35,20,25,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_48_long_camshaft_with_thick_big_cams.stl,long camshaft with thick big cams,,,,,,500,25,50,35,20,30,25,8,camshaft,,,,,,,,,,,,,,,,,,,
camshaft_49_short_camshaft_with_thin_small_cams.stl,short camshaft with thin small cams,,,,,,300,25,35,25,10,30,15,8,camshaft,,,,,,,,,,,,,,,,,,,
connecting_rod_6_long_thick_rod_with_small_end_narrow_shaft.stl,long thick rod with small end narrow shaft,200,40,20,15,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_7_short_thin_rod_with_big_end_wide_shaft.stl,short thin rod with big end wide shaft,110,60,30,15,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_8_long_rod_with_big_end_narrow_shaft.stl,long rod with big end narrow shaft,200,60,30,10,10,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_9_short_rod_with_small_end_wide_shaft.stl,short rod with small end wide shaft,100,40,20,20,10,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_10_long_thick_rod_with_big_end.stl,long thick rod with big end,200,60,30,20,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_11_short_thin_rod_with_small_end.stl,short thin rod with small end,100,40,20,10,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_12_long_rod_with_wide_shaft_thick.stl,long rod with wide shaft thick,200,50,25,25,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_13_short_rod_with_narrow_shaft_thin.stl,short rod with narrow shaft thin,100,50,25,5,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_14_long_thick_rod_with_small_end_wide_shaft.stl,long thick rod with small end wide shaft,200,40,20,25,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_15_short_thin_rod_with_big_end_narrow_shaft.stl,short thin rod with big end narrow shaft,110,60,30,5,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_16_long_thin_rod_with_big_end.stl,long thin rod with big end,200,60,30,10,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_17_short_thick_rod_with_small_end.stl,short thick rod with small end,100,40,20,20,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_18_long_rod_with_big_end_wide_shaft.stl,long rod with big end wide shaft,200,60,30,20,10,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_19_short_rod_with_small_end_narrow_shaft.stl,short rod with small end narrow shaft,100,40,20,10,10,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_20_long_thick_rod_with_wide_shaft.stl,long thick rod with wide shaft,200,50,25,25,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_21_short_thin_rod_with_narrow_shaft.stl,short thin rod with narrow shaft,100,50,25,5,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_22_long_thin_rod_with_small_end_wide_shaft.stl,long thin rod with small end wide shaft,200,40,20,15,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_23_short_thick_rod_with_big_end_narrow_shaft.stl,short thick rod with big end narrow shaft,110,60,30,15,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_24_long_rod_with_thick_big_end.stl,long rod with thick big end,200,60,30,20,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_25_short_rod_with_thin_small_end.stl,short rod with thin small end,100,40,20,10,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_26_long_thick_rod_with_big_end_wide_shaft.stl,long thick rod with big end wide shaft,200,60,30,25,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_27_short_thin_rod_with_small_end_narrow_shaft.stl,short thin rod with small end narrow shaft,100,40,20,5,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_28_long_thin_rod_with_big_end_narrow_shaft.stl,long thin rod with big end narrow shaft,200,60,30,5,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_29_short_thick_rod_with_small_end_wide_shaft.stl,short thick rod with small end wide shaft,100,40,20,25,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_30_long_rod_with_small_end_narrow_shaft.stl,long rod with small end narrow shaft,200,40,20,10,10,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_31_short_rod_with_big_end_wide_shaft.stl,short rod with big end wide shaft,110,60,30,20,10,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_32_long_thick_rod_with_small_end.stl,long thick rod with small end,200,40,20,20,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_33_short_thin_rod_with_big_end.stl,short thin rod with big end,110,60,30,10,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_34_long_rod_with_wide_shaft_thin.stl,long rod with wide shaft thin,200,50,25,15,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_35_short_rod_with_narrow_shaft_thick.stl,short rod with narrow shaft thick,100,50,25,15,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_36_long_thick_rod_with_big_end_narrow_shaft.stl,long thick rod with big end narrow shaft,200,60,30,15,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_37_short_thin_rod_with_small_end_wide_shaft.stl,short thin rod with small end wide shaft,100,40,20,15,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_38_long_thin_rod_with_big_end_wide_shaft.stl,long thin rod with big end wide shaft,200,60,30,15,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_39_short_thick_rod_with_small_end_narrow_shaft.stl,short thick rod with small end narrow shaft,100,40,20,15,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_40_long_rod_with_big_end_narrow_shaft.stl,long rod with big end narrow shaft,200,60,30,10,10,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_41_short_rod_with_small_end_wide_shaft.stl,short rod with small end wide shaft,100,40,20,20,10,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_42_long_thick_rod_with_wide_shaft_thin.stl,long thick rod with wide shaft thin,200,50,25,25,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_43_short_thin_rod_with_narrow_shaft_thick.stl,short thin rod with narrow shaft thick,100,50,25,15,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_44_long_thin_rod_with_small_end_narrow_shaft.stl,long thin rod with small end narrow shaft,200,40,20,5,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_45_short_thick_rod_with_big_end_wide_shaft.stl,short thick rod with big end wide shaft,110,60,30,25,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_46_long_rod_with_thick_big_end_wide_shaft.stl,long rod with thick big end wide shaft,200,60,30,25,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_47_short_rod_with_thin_small_end_narrow_shaft.stl,short rod with thin small end narrow shaft,100,40,20,5,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_48_long_thick_rod_with_big_end_narrow_shaft.stl,long thick rod with big end narrow shaft,200,60,30,15,15,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
connecting_rod_49_short_thin_rod_with_small_end_wide_shaft.stl,short thin rod with small end wide shaft,100,40,20,15,8,,,,,,,,,connecting_rod,,,,,,,,,,,,,,,,,,,
crankshaft_0_long_crankshaft_with_many_throws_thick_webs_large_counterweights.stl,long crankshaft with many throws thick webs large counterweights,,,,,,600,,,,,,,,crankshaft,6,20,60,,,,,,,,,,,,,,,,
crankshaft_1_short_crankshaft_with_few_throws_thin_webs_small_counterweights.stl,short crankshaft with few throws thin webs small counterweights,,,,,,300,,,,,,,,crankshaft,2,10,40,,,,,,,,,,,,,,,,
crankshaft_2_crankshaft_with_thick_webs_large_counterweights.stl,crankshaft with thick webs large counterweights,,,,,,450,,,,,,,,crankshaft,4,20,60,,,,,,,,,,,,,,,,
crankshaft_3_crankshaft_with_thin_webs_small_counterweights.stl,crankshaft with thin webs small counterweights,,,,,,450,,,,,,,,crankshaft,4,10,40,,,,,,,,,,,,,,,,
